Players,Proj,Cost,QB,RB,WR,TE,K,DST,Flex,SFlex
Jalen Hurts,378.63,29,1,0,0,0,0,0,0,1
Patrick Mahomes,396.63,25,1,0,0,0,0,0,0,1
Josh Allen,379.42,24,1,0,0,0,0,0,0,1
Joe Burrow,350.37,15,1,0,0,0,0,0,0,1
Lamar Jackson,356.33,12,1,0,0,0,0,0,0,1
Justin Fields,353.56,7,1,0,0,0,0,0,0,1
Trevor Lawrence,317.71,5,1,0,0,0,0,0,0,1
Justin Herbert,327.52,5,1,0,0,0,0,0,0,1
Dak Prescott,321.87,3,1,0,0,0,0,0,0,1
Tua Tagovailoa,307.08,3,1,0,0,0,0,0,0,1
Deshaun Watson,318.37,2,1,0,0,0,0,0,0,1
Daniel Jones,285.55,2,1,0,0,0,0,0,0,1
Geno Smith,284.29,2,1,0,0,0,0,0,0,1
Anthony Richardson,280.69,2,1,0,0,0,0,0,0,1
Kirk Cousins,294.32,2,1,0,0,0,0,0,0,1
Aaron Rodgers,296.75,2,1,0,0,0,0,0,0,1
Jared Goff,283.75,2,1,0,0,0,0,0,0,1
Russell Wilson,289.6,1,1,0,0,0,0,0,0,1
Derek Carr,261.99,1,1,0,0,0,0,0,0,1
Matthew Stafford,271.75,1,1,0,0,0,0,0,0,1
Brock Purdy,102.22,1,1,0,0,0,0,0,0,1
Kenny Pickett,258.77,1,1,0,0,0,0,0,0,1
Jordan Love,273.96,1,1,0,0,0,0,0,0,1
Ryan Tannehill,250.19,1,1,0,0,0,0,0,0,1
Sam Howell,255.89,1,1,0,0,0,0,0,0,1
Baker Mayfield,232.46,1,1,0,0,0,0,0,0,1
Kyler Murray,238.78,1,1,0,0,0,0,0,0,1
Desmond Ridder,241.88,1,1,0,0,0,0,0,0,1
Jimmy Garoppolo,245.61,1,1,0,0,0,0,0,0,1
Jacoby Brissett,28.47,1,1,0,0,0,0,0,0,1
Trey Lance,83.26,1,1,0,0,0,0,0,0,1
Bryce Young,256.64,1,1,0,0,0,0,0,0,1
Mac Jones,242.63,1,1,0,0,0,0,0,0,1
Christian McCaffrey,331.66,64,0,1,0,0,0,0,1,1
Austin Ekeler,320.28,55,0,1,0,0,0,0,1,1
Jonathan Taylor,274.07,54,0,1,0,0,0,0,1,1
Bijan Robinson,255.67,52,0,1,0,0,0,0,1,1
Nick Chubb,266.43,48,0,1,0,0,0,0,1,1
Saquon Barkley,298.5,46,0,1,0,0,0,0,1,1
Tony Pollard,255.04,44,0,1,0,0,0,0,1,1
Derrick Henry,257.68,42,0,1,0,0,0,0,1,1
Josh Jacobs,258.43,38,0,1,0,0,0,0,1,1
Rhamondre Stevenson,244.13,34,0,1,0,0,0,0,1,1
Breece Hall,260.8,33,0,1,0,0,0,0,1,1
Najee Harris,235.86,32,0,1,0,0,0,0,1,1
Travis Etienne Jr.,250.16,27,0,1,0,0,0,0,1,1
Aaron Jones,220.74,26,0,1,0,0,0,0,1,1
Joe Mixon,217.63,26,0,1,0,0,0,0,1,1
Jahmyr Gibbs,249.71,20,0,1,0,0,0,0,1,1
J.K. Dobbins,210.92,19,0,1,0,0,0,0,1,1
Kenneth Walker III,203.87,17,0,1,0,0,0,0,1,1
Miles Sanders,201.22,17,0,1,0,0,0,0,1,1
Cam Akers,209.86,17,0,1,0,0,0,0,1,1
Dameon Pierce,215.34,17,0,1,0,0,0,0,1,1
Alexander Mattison,194.67,16,0,1,0,0,0,0,1,1
James Conner,242.91,8,0,1,0,0,0,0,1,1
David Montgomery,187.59,8,0,1,0,0,0,0,1,1
Isiah Pacheco,193.39,6,0,1,0,0,0,0,1,1
Rachaad White,197.86,5,0,1,0,0,0,0,1,1
Dalvin Cook,189.75,5,0,1,0,0,0,0,1,1
Rashaad Penny,183.1,5,0,1,0,0,0,0,1,1
D'Andre Swift,211.95,4,0,1,0,0,0,0,1,1
Javonte Williams,223.49,4,0,1,0,0,0,0,1,1
Brian Robinson,179.5,3,0,1,0,0,0,0,1,1
Damien Harris,157.37,3,0,1,0,0,0,0,1,1
Alvin Kamara,231.14,3,0,1,0,0,0,0,1,1
AJ Dillon,196.79,3,0,1,0,0,0,0,1,1
Khalil Herbert,178.95,3,0,1,0,0,0,0,1,1
Jamaal Williams,160.17,2,0,1,0,0,0,0,1,1
James Cook,208.9,2,0,1,0,0,0,0,1,1
Samaje Perine,148.59,2,0,1,0,0,0,0,1,1
Antonio Gibson,176.27,2,0,1,0,0,0,0,1,1
Elijah Mitchell,155.65,2,0,1,0,0,0,0,1,1
Zach Charbonnet,159.48,2,0,1,0,0,0,0,1,1
Tyler Allgeier,147.7,2,0,1,0,0,0,0,1,1
Kenneth Gainwell,79.08,2,0,1,0,0,0,0,1,1
D'Onta Foreman,138.09,2,0,1,0,0,0,0,1,1
Jerick McKinnon,149.75,2,0,1,0,0,0,0,1,1
Jeff Wilson Jr.,104.65,2,0,1,0,0,0,0,1,1
Jaylen Warren,107.82,1,0,1,0,0,0,0,1,1
Ezekiel Elliott,0,1,0,1,0,0,0,0,1,1
Devin Singletary,128.11,1,0,1,0,0,0,0,1,1
Raheem Mostert,140.04,1,0,1,0,0,0,0,1,1
Kendre Miller,77.11,1,0,1,0,0,0,0,1,1
Clyde Edwards-Helaire,105.11,1,0,1,0,0,0,0,1,1
De'Von Achane,181.49,1,0,1,0,0,0,0,1,1
Leonard Fournette,97.68,1,0,1,0,0,0,0,1,1
Chuba Hubbard,120.34,1,0,1,0,0,0,0,1,1
Zamir White,60.86,1,0,1,0,0,0,0,1,1
Cordarrelle Patterson,90.76,1,0,1,0,0,0,0,1,1
Gus Edwards,91.04,1,0,1,0,0,0,0,1,1
Tank Bigsby,121.1,1,0,1,0,0,0,0,1,1
Jerome Ford,93.37,1,0,1,0,0,0,0,1,1
Michael Carter,125.85,1,0,1,0,0,0,0,1,1
Roschon Johnson,72.75,1,0,1,0,0,0,0,1,1
Kareem Hunt,96.24,1,0,1,0,0,0,0,1,1
Joshua Kelley,75.1,1,0,1,0,0,0,0,1,1
Tyjae Spears,72.4,1,0,1,0,0,0,0,1,1
Chase Brown,95.85,1,0,1,0,0,0,0,1,1
Justin Jefferson,364.37,65,0,0,1,0,0,0,1,1
Ja'Marr Chase,369.43,63,0,0,1,0,0,0,1,1
Cooper Kupp,318.37,56,0,0,1,0,0,0,1,1
Tyreek Hill,327.05,53,0,0,1,0,0,0,1,1
Stefon Diggs,318.22,48,0,0,1,0,0,0,1,1
CeeDee Lamb,299.75,43,0,0,1,0,0,0,1,1
A.J. Brown,294.81,42,0,0,1,0,0,0,1,1
Davante Adams,309.74,41,0,0,1,0,0,0,1,1
Amon-Ra St. Brown,278.81,36,0,0,1,0,0,0,1,1
Jaylen Waddle,262.32,35,0,0,1,0,0,0,1,1
DeVonta Smith,257.91,31,0,0,1,0,0,0,1,1
Chris Olave,250.38,30,0,0,1,0,0,0,1,1
Tee Higgins,258.69,28,0,0,1,0,0,0,1,1
DK Metcalf,233.08,23,0,0,1,0,0,0,1,1
Amari Cooper,248.29,18,0,0,1,0,0,0,1,1
Deebo Samuel,234.86,17,0,0,1,0,0,0,1,1
Keenan Allen,249.54,17,0,0,1,0,0,0,1,1
Tyler Lockett,220.22,14,0,0,1,0,0,0,1,1
Drake London,232.95,13,0,0,1,0,0,0,1,1
Terry McLaurin,231.4,11,0,0,1,0,0,0,1,1
Chris Godwin,239.45,11,0,0,1,0,0,0,1,1
DJ Moore,247.02,10,0,0,1,0,0,0,1,1
Jerry Jeudy,236.12,9,0,0,1,0,0,0,1,1
DeAndre Hopkins,220.28,9,0,0,1,0,0,0,1,1
Christian Watson,212.34,7,0,0,1,0,0,0,1,1
Brandon Aiyuk,235.43,7,0,0,1,0,0,0,1,1
Diontae Johnson,206.39,7,0,0,1,0,0,0,1,1
Michael Pittman Jr.,242.01,7,0,0,1,0,0,0,1,1
Mike Williams,228.99,6,0,0,1,0,0,0,1,1
Mike Evans,214.12,5,0,0,1,0,0,0,1,1
Christian Kirk,225.42,5,0,0,1,0,0,0,1,1
Marquise Brown,203.65,4,0,0,1,0,0,0,1,1
Jahan Dotson,186.28,4,0,0,1,0,0,0,1,1
George Pickens,206.36,3,0,0,1,0,0,0,1,1
Gabe Davis,207.68,2,0,0,1,0,0,0,1,1
Elijah Moore,165.34,2,0,0,1,0,0,0,1,1
Jordan Addison,192.47,2,0,0,1,0,0,0,1,1
Treylon Burks,195.96,2,0,0,1,0,0,0,1,1
Jaxon Smith-Njigba,185.91,2,0,0,1,0,0,0,1,1
Rashod Bateman,171.32,2,0,0,1,0,0,0,1,1
Kadarius Toney,184.27,2,0,0,1,0,0,0,1,1
Brandin Cooks,201.93,2,0,0,1,0,0,0,1,1
Courtland Sutton,167.88,2,0,0,1,0,0,0,1,1
Nico Collins,137.07,2,0,0,1,0,0,0,1,1
Jakobi Meyers,184.91,2,0,0,1,0,0,0,1,1
